tri_facility_id,facility_name,street_address,city_name,county_name,state_county_fips_code,state_abbr,zip_code,region,fac_closed_ind,mail_name,mail_street_address,mail_city,mail_state_abbr,mail_province,mail_country,mail_zip_code,asgn_federal_ind,asgn_agency,frs_id,parent_co_db_num,parent_co_name,fac_latitude,fac_longitude,pref_latitude,pref_longitude,pref_accuracy,pref_collect_meth,pref_desc_category,pref_horizontal_datum,pref_source_scale,pref_qa_code,asgn_partial_ind,asgn_public_contact,asgn_public_phone,asgn_public_contact_email,bia_code,standardized_parent_company,asgn_public_phone_ext,epa_registry_id,asgn_technical_contact,asgn_technical_phone,asgn_technical_phone_ext,mail,asgn_technical_contact_email,foreign_parent_co_name,foreign_parent_co_db_num,standardized_foreign_parent_company
60005DSPLN1605A,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,1605 E ALGONQUIN RD,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,1605 E ALGONQUIN RD,ARLINGTON HEIGHTS,IL,,,60005,C,,,004294737,SHELL PETROLEUM INC,420139.0,875656.0,,,,,,,,,0,TIM PETRBOK,6309035841,TIMOTHY.PETRBOK@SHELL.COM,,SHELL PETROLEUM INC,,110000428680,,,,,,NA,,SHELL PLC
60005LDNTT616EB,ALDEN & OTT PRINTING INKS CO,616 E BROOK DR,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,ALDEN & OTT PRINTING INKS CO,616 E BROOK DR,ARLINGTON HEIGHTS,IL,,,60005,C,,,NA,NA,420222.0,883555.0,42.0388,87.974523,150.0,A1,PG,1,J,1000,0,THOMAS ALDEN,7089566830,,,,,110000851560,,,,,,,,
60005MBLLD2312T,EXXONMOBIL OIL CORP DES PLAINES TERMINAL,2312 TERMINAL DR,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,EXXONMOBIL OIL CORP DES PLAINES TERMINAL,2312 TERMINAL DR,ARLINGTON HEIGHTS,IL,,,60005,C,,,001213214,EXXONMOBIL OIL CORP,420128.0,875701.0,,,,,,,,,0,GAUTAM SINGH,8326258965,GAUTAM.SINGH@EXXONMOBIL.COM,,EXXON MOBIL CORP,,110000428699,,,,,,,,
60005MGNCS1117E,AMPCO METAL INC,1117 E ALGONQUIN RD,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,AMPCO METAL INC,1117 E ALGONQUIN RD,ARLINGTON HEIGHTS,IL,,,60005,C,,,,NA,420210.0,875712.0,42.036111,87.953333,150.0,UN,UN,1,U,1010,0,IAN WIESE,8474376000,WIESE@AMPCOMETAL.COM,,NA,,110057216203,,,,,,,,
60005MRSHM2636S,AMERSHAM CORP,2636 S CLEARBROOK DR,ARLINGTON HEIGHTS,COOK,17031,IL,600054692,5,0,AMERSHAM CORP,2636 S CLEARBROOK DR,ARLINGTON HEIGHTS,IL,,,60005-4692,C,,,NA,NA,420230.0,,42.037882,87.9735,150.0,A1,PG,1,J,1000,0,WAYNE P FAIRBROTHER,7085936300,,,,,110001816759,,,,,,,,
60005MRTHN3231B,MPLX TERMINALS LLC - MT PROSPECT IL TERMINAL,3231 BUSSE RD,ARLINGTON HEIGHTS,COOK,17031,IL,60005,5,0,MPLX TERMINALS LLC - MT PROSPECT IL TERMINAL,539 S MAIN ST,FINDLAY,OH,,,45840,C,,,968393996,MARATHON PETROLEUM CORP,,,,,,,,,,,0,HAROLD SCOTT,4196726563,HRSCOTT@MARATHONPETROLEUM.COM,,MARATHON PETROLEUM CORP,,110000845845,,,,,,,,
60005WBRMR711WA,WEBER MARKING SYSTEMS INC,711 W ALGONQUIN RD,ARLINGTON HEIGHTS,COOK,17031,IL,600054520,5,0,WEBER MARKING SYSTEMS INC,711 W ALGONQUIN RD,ARLINGTON HEIGHTS,IL,,,60005-4520,C,,,NA,NA,420250.0,875933.0,42.047222,87.9925,150.0,UN,UN,1,U,1010,0,BRIAN GALLAGHER,8473648500,,,,,110000428715,,,,,,,,
60006CHCGL1680C,CHICAGOLAND PROCESSING CORP,1680 CARMEN DR,ELK GROVE VILLAGE,COOK,17031,IL,60006,5,1,CHICAGOLAND PROCESSING CORP,1680 CARMEN DR,ELK GROVE VILLAGE,IL,,,60006,C,,,NA,NA,420010.0,880026.0,42.00272,87.936742,150.0,A1,PG,1,J,1000,0,JOHN P. OBIE,7089810310,,,,,110002317181,,,,,,,,
60007BFSPC2481D,B & F SPECIALTIES,2481 DELTA LN,ELK GROVE VILLAGE,DUPAGE,17043,IL,60007,5,0,B & F SPECIALTIES,2481 DELTA LN,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,NA,420000.0,875730.0,42.0,87.958333,150.0,UN,UN,1,U,1010,0,THOMAS L EULBERG,7083509333,,,,,110002124488,,,,,,,,
60007BLRMN2201L,SIGMATRON INTERNATIONAL INC - ELK GROVE DIV,2201 LANDMEIER RD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,SIGMATRON INTERNATIONAL INC - ELK GROVE DIV,2201 LANDMEIER RD,ELK GROVE VILLAGE,IL,,,60007,C,,,825622327,SIGMATRON INTERNATIONAL INC,420035.0,875657.0,42.013056,87.946389,150.0,UN,UN,1,U,1010,0,JOHN SHEEHAN,8476404511,JOHN.SHEEHAN@SIGMATRONINTL.COM,,SIGMATRON INTERNATIONAL INC,,110000428724,,,,,,NA,,NA
60007BRKSH2075B,BANTA DIRECT MARKETING CHICAGO,2075 BUSSE RD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,BANTA DIRECT MARKETING CHICAGO,2075 BUSSE RD,ELK GROVE VILLAGE,IL,,,60007,C,,,006076525,BANTA CORP,415956.0,875731.0,41.988889,87.969444,150.0,UN,UN,1,U,1010,0,ELMER PIPER,8475931200,,,,,110001809446,,,,,,,,
60007BRTLT70120,BARTLETT MANUFACTURING CO,70-120 N KING ST,ELK GROVE VILLAGE,COOK,17031,IL,600071111,5,0,BARTLETT MANUFACTURING CO,225 N 1ST ST,CARY,IL,,,60013,C,,,NA,NA,420010.0,880026.0,42.028355,87.978,150.0,A1,PG,1,J,1000,0,DOUGLAS BARTLETT,8476392102,,,,,110000845863,,,,,,,,
60007BSCPR1125H,BISCO PRODS,2300 E DEVON AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,1,BISCO PRODS,2300 E DEVON AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,005353487,DOW CORNING CORP,420010.0,880026.0,41.9933,87.947225,150.0,A1,PG,1,J,1000,0,MICHAEL BRADT,7086400800,,,,,110001820110,,,,,,,,
60007CCHND1951A,COACH & CAR EQUIPMENT CORP,1951 ARTHUR AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,COACH & CAR EQUIPMENT CORP,1951 ARTHUR AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,NA,,,41.995736,87.953764,150.0,A1,PG,1,J,1000,0,JAMES MASTERS,3124375760,,,,,110001813501,,,,,,,,
60007CDHLN2451E,C A DAHLIN CO,2451 ESTES AVE,ELK GROVE VILLAGE,COOK,17031,IL,600075493,5,0,C A DAHLIN CO,2451 ESTES AVE,ELK GROVE VILLAGE,IL,,,60007-5493,C,,,NA,NA,420022.0,875637.0,42.006156,87.94354,150.0,A1,PG,1,J,1000,0,RODNEY C DAYLLIN,8474391212,,,,,110001131114,,,,,,,,
60007CHCGC2685U,CHICAGO CIRCUITS CORP,2685 UNITED LN,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,,,,,,,,C,,,,NA,415918.0,875643.0,,,,,,,,,0,MAHENDRA PATEL,8472381672,ACCOUNTS@CHICAGOCIRCUITS.COM,,NA,,110027990798,,,,,,NA,,NA
60007CHCGM901CH,CHICAGO MAGNET WIRE CORP,901 CHASE ST,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,CHICAGO MAGNET WIRE CORP,901 CHASE ST,ELK GROVE VILLAGE,IL,,,60007,C,,,001291111,PHILIPS ELECTRONICS NA CORP,420030.0,875830.0,42.008333,87.975,150.0,UN,UN,1,U,1010,0,ROBERT GURLEY,8474375750,,,,,110007262274,,,,,,,,
60007CHMPL1990E,CHEM-PLATE INDUSTRIES INC,1990 E DEVON AVENUE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,CHEM-PLATE INDUSTRIES INC,1800 TOUHY AVENUE,ELK GROVE VILLAGE,IL,,,60007,C,,,094739208,CHEM-PLATE INDUSTRIES INC,415938.0,875710.0,41.993889,87.952778,150.0,UN,UN,1,U,1010,0,AARON STRAUS,8476401600,ENVIRONMENTAL@CHEMPLATEINDUSTRIES.COM,,CHEM-PLATE INDUSTRIES INC,,110000428733,,,,,,NA,,NA
60007CLRLM1950P,SONOCO FLEXIBLES ELK GROVE PLANT,1950 PRATT BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,SONOCO FLEXIBLES ELK GROVE PLANT,1950 PRATT BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,,NA,415953.0,875652.0,41.998056,87.947778,11000.0,UN,UN,1,U,1000,0,KREGG SALVINO,8474398570,KREGG.SALVINO@SONOCO.COM,,TOPPAN PACKAGING USA INC,,110000428742,,,,,,NA,,NA
60007CMFNS1595O,ACME FINISHING CO LLC,1595 E OAKTON ST,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,ACME FINISHING CO LLC,1595 E OAKTON ST,ELK GROVE VILLAGE,IL,,,60007,C,,,,NA,420119.0,875754.0,42.022222,87.961111,150.0,UN,UN,1,U,1010,0,AL COLELLA,8476212724,AL@ACMEFINISHING.COM,,ACME FINISHING CO LLC,,110014319488,,,,,,,,
60007CMMRC540LI,COMMERCIAL FINISHES CO LTD,540 LIVELY BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,COMMERCIAL FINISHES CO LTD,540 LIVELY BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,NA,420084.0,875830.0,42.0083,87.9947,11000.0,Z1,UN,1,U,0000,0,SAMUEL J LEGITTINO,8479819222,,,,,110002124497,,,,,,,,
60007CMPND1340H,CMP ANODIZING,1340 HOWARD STREET,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,CMP ANODIZING,1340 HOWARD ST,ELK GROVE VILLAGE,IL,,,60007,C,,,,NA,420058.0,875800.0,,,,,,,,,0,MIKE LANGENSTRASS,8479561313,MIKEL@CMPANODIZING.COM,,NA,,110010288116,,,,,,,,
60007CMWLY2480G,ICON IDENTITY SOLUTIONS,2480 GREENLEAF AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,ICON IDENTITY SOLUTIONS,1418 ELMHURST RD,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,NA,420018.0,875634.0,,,,,,,,,0,TONY CHIAVOLA,8476314201,NA,,,,110000428760,,,,,,,,
60007CNCHC1501M,PERFECTION PLATING INC.,1521 MORSE AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,PERFECTION PLATING INC.,1521 MORSE AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,046569620,PERFECTION PLATING,420000.0,875745.0,42.003333,87.969167,150.0,UN,UN,1,U,1010,0,BRIAN DROEGE,8475936506,BDROEGE@PERFECTIONPLATE.COM,,PERFECTION PLATING,,110043571872,,,,,,NA,,NA
60007CRCTS2350E,CIRCUIT SYSTEMS INC,2350 E LUNT AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,CIRCUIT SYSTEMS INC,2400 E LUNT AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,NA,420010.0,875644.0,42.002778,87.945556,150.0,UN,UN,1,U,1010,0,VITHAL V PATEL,8474391999,,,,,110000746140,,,,,,,,
60007CRCTT700LE,CIRCUIT ETCHING TECHNICS INC.,700 LEE ST,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,CIRCUIT ETCHING TECHNICS INC.,700 LEE ST,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,NA,420158.0,875849.0,,,,,,,,,0,ASHOK PARIKH,8472281722,NA,,,,110000889361,,,,,,,,
60007CRNDS2515P,CR IND,2515 PAN AM BLVD,ELK GROVE VILLAGE,DUPAGE,17043,IL,60007,5,1,CR IND,2515 PAN AM BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,005105558,CR IND,415940.0,875726.0,41.994444,87.957222,150.0,UN,UN,1,U,1010,0,LARRY KAGEL,7087427840,,,,,110063924035,,,,,,,,
60007CRQVL2200E,CARQUEVILLE TCH GRAPHICS INC,2200 ESTES BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,CARQUEVILLE TCH GRAPHICS INC,2200 ESTES BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,CARQUEVILLE-TCR GRAPHICS INC,400020.0,885730.0,42.006,87.949444,600.0,A2,PG,1,J,1000,0,JOSEPH TENYER,8474398700,,,,,110002023809,,,,,,,,
60007DLTPR1370L,DELTA PRECISION CIRCUITS,1370 LIVELY BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,1,DELTA PRECISION CIRCUITS,1370 LIVELY BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,,NA,420011.0,875807.0,,,,,,,,,0,RAJANI PATEL,8477588000,RAJANI1@DELTAPCB.COM,,NA,,110000428788,,,,,,,,
60007DPLCL1601N,DUPLI-COLOR PRODUCTS,1601 NICHOLAS BLVD,ELK GROVE VILLAGE,COOK,17031,IL,600075677,5,0,DUPLI-COLOR PRODUCTS,1601 NICHOLAS BLVD,ELK GROVE VILLAGE,IL,,,60007-5677,C,,,004206397,SHERWIN-WILLIAMS CO,420015.0,875657.0,42.008333,87.95,150.0,UN,UN,1,U,1010,0,R. SCOTT THOMAS,2165662182,,,,,110000428797,,,,,,,,
60007FLDCN1500N,GRAPHIC PACKAGING INTERNATIONAL LLC,1500 NICHOLAS BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,GRAPHIC PACKAGING INTERNATIONAL LLC,1500 NICHOLAS BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,943786657,GRAPHIC PACKAGING HOLDING CO,420016.0,875708.0,42.004444,87.952222,150.0,UN,UN,1,U,1010,0,ANDREW SWATLOSKE,8479563450,ANDREW.SWATLOWSKE@GRAPHICPKG.COM,,GRAPHIC PACKAGING HOLDING CO,,110000428804,,,,,,NA,,NA
60007FPMHT1501S,FPM LLC,1501 S LIVELY BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,FPM LLC,1501 S LIVELY BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,094740412,FPM LLC,420013.0,875808.0,42.003611,87.968889,150.0,UN,UN,1,U,1010,0,JIM FELTNER,8479525265,JFELTNER@FPMHT.COM,,FPM LLC,,110000428813,,,,,,NA,,NA
60007FRSBY1500C,FRISBY P.M.C. INC.,1500 CHASE AVE,ELK GROVE VILLAGE,COOK,17031,IL,600074886,5,0,FRISBY P.M.C. INC.,1500 CHASE AVE,ELK GROVE VILLAGE,IL,,,60007-4886,C,,,NA,NA,420015.0,875755.0,42.004167,87.965278,11000.0,UN,UN,1,U,1000,0,LEN CARMICHAEL,8474393000,,,,,110001820058,,,,,,,,
60007GFGNF751PR,GFI GENFARE,751 PRATT BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,GFI GENFARE,751 PRATT BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,SPX INC,415951.0,875831.0,,,,,,,,,0,KENN ELLIS,8475938855,KENN.ELLIS@SPX.COM,,,495,110012704662,,,,,,,,
60007GRNDV1900P,DOVER INDUSTRIES GROEN DIV,1900 PRATT BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,GROEN INC.,1055 MENDALL DAVIS DR.,JACKSON,MS,,,39212,C,,,NA,DOVER CORP,420100.0,875700.0,,,,,,,,,0,MARK BONGERS,9529382228,,,,,110000428822,,,,,,,,
60007GRPHC750AR,GRAPHIC COLOR CORP,750 ARTHUR AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,GRAPHIC COLOR CORP,750 ARTHUR AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,NA,NA,415930.0,875810.0,41.991667,87.969444,150.0,UN,UN,1,U,1010,0,BRUCE MCINTOSH,7089811900,,,,,110039505274,,,,,,,,
60007HNDYH1900E,HANDY & HARMAN,1900 ESTES AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,HANDY & HARMAN,1900 ESTES AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,002028876,HANDY & HARMAN,420010.0,880026.0,42.005941,87.955213,150.0,A1,PG,1,J,1000,0,GILBERT S. TUTSCHEK,7084373883,,,,,110002124512,,,,,,,,
60007HNZND1447H,HEINZ INDUSTRIES INC,1447 HOWARD ST,ELK GROVE VILLAGE,COOK,17031,IL,600072215,5,0,HEINZ INDUSTRIES INC,1447 HOWARD ST,ELK GROVE VILLAGE,IL,,,60007-2215,C,,,NA,NA,420033.0,875634.0,42.009167,87.942778,11000.0,UN,UN,1,U,1000,0,DON PATTERSON,8475931422,,,,,110000428831,,,,,,,,
60007HSNRH670GR,HAUSNER HARD-CHROME INC,670 GREENLEAF AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,,,,,,,,C,,,,NA,420015.0,875827.0,42.004167,87.974167,150.0,UN,UN,1,U,1010,0,BILLY DECKER,2707138209,BILLY.DECKER@HAUSNERINC.COM,,HAUSNER HARD-CHROME INC,,110000428840,,,,,,NA,,NA
60007JDTCH2100L,JADE TECHNOLOGIES INC,2100 LUNT AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,JADE TECH. INC.,3063 PHILMONT AVE.,HUNTINGDON VALLEY,PA,,,19006,C,,,043965268,JADE CORP,420010.0,875704.0,42.002778,87.951111,150.0,UN,UN,1,U,1010,0,THOMAS J. MCMANUS,2159473333,,,,,110001304473,,,,,,,,
60007JFFRS850LU,JEFFERSON SMURFIT CORP SMURFIT LAMINATIONS,850 LUNT AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,JEFFERSON SMURFIT CORP SMURFIT LAMINATIONS,850 LUNT AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,092533678,JEFFERSON SMURFIT CORP,420010.0,875821.0,42.002778,87.9725,150.0,UN,UN,1,U,1010,0,DAVID C. GLASGOW,7083641340,,,,,110000889156,,,,,,,,
60007JHNLR1313L,JOHN L ARMITAGE & CO,1313 LUNT AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,JOHN L. ARMITAGE & CO.,545 NATIONAL DR.,GALLATIN,TN,,,37066,C,,,037003167,JOHN L ARMITAGE & CO,,,42.0018,87.9661,150.0,A1,PG,1,J,1000,0,SAL DELUCA,3128940478,,,,,110001817151,,,,,,,,
60007KLNDS560BO,KOAL INDUSTRIES INC,560 BONNIE LN,ELK GROVE VILLAGE,COOK,17031,IL,600071910,5,0,KOAL INDUSTRIES INC,560 BONNIE LN,ELK GROVE VILLAGE,IL,,,60007-1910,C,,,NA,NA,420115.0,875815.0,42.020833,87.970833,150.0,UN,UN,1,U,1010,0,STEPHEN P. KARAS,8479567920,,,,,110000428859,,,,,,,,
60007KVFCN950LI,KVF CO INC,950 LIVELY BLVD,ELK GROVE VILLAGE,COOK,17031,IL,600072254,5,0,KVF CO INC,950 LIVELY BLVD,ELK GROVE VILLAGE,IL,,,60007-2254,C,,,NA,NA,420040.0,875814.0,42.011111,87.970556,150.0,UN,UN,1,U,1010,0,LOUIE LANA,7084375100,,,,,110001820101,,,,,,,,
60007LCNDS1201P,LA-CO INDUSTRIES INC,1201 PRATT BLVD,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,LA-CO INDUSTRIES INC,1201 PRATT BLVD,ELK GROVE VILLAGE,IL,,,60007,C,,,,NA,415951.0,875806.0,41.9975,87.968333,11000.0,UN,UN,1,U,1000,0,JOSE PARRA,8479567600,JPARRA@LACO.COM,,NA,,110000742885,,,,,,NA,,NA
60007LCTRN27WTU,ELECTRONIC INTERCONNECT CORP.,2700 W TOUHY AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,ELECTRONIC INTERCONNECT CORP.,2700 W TOUHY AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,,NA,420031.0,875636.0,,,,,,,,,0,SANJAY SHAH,8473644848,SANJAY.SHAH@EICONNECT.COM,,NA,,110011268699,,,,,,NA,,NA
60007LDNPR2000A,QUEBECOR WORLD CHICAGO DIV ELK GROVE VILLAGE,2000 ARRTHUR AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,QUEBECOR WORLD,6215 N LUNDY AVE,CHICAGO,IL,,,60646,C,,,006265649,QUEBECOR WORLD USA CORP,415947.0,875705.0,41.996389,87.951389,150.0,UN,UN,1,U,1010,0,ANN PANTLE O'BRIEN,7736313869,,,,,110000428868,,,,,,,,
60007LGHTN123SC,LIGHTNING METAL SPECIALTIES,123 SCOTT ST,ELK GROVE VILLAGE,COOK,17031,IL,600071210,5,0,LIGHTNING METAL SPECIALTIES,123 SCOTT ST,ELK GROVE VILLAGE,IL,,,60007-1210,C,,,NA,NA,420010.0,880026.0,42.0297,87.976167,600.0,A2,PG,1,J,1000,0,KEITH NAWROCKI,8477582067,,,,,110000428877,,,,,,,,
60007LKGRV776LU,NORTH AMERICAN ELECTROLESS NIC KEL INC.,776 LUNT AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,NORTH AMERICAN ELECTROLESS NIC KEL INC.,776 LUNT AVE,ELK GROVE VILLAGE,IL,,,60007,C,,,,NA,420115.0,875705.0,42.0018,87.975772,150.0,A1,PG,1,J,1000,0,MICHAEL BROSIO,8479523680,MBROSIO@NORTHAMERICANEN.COM,,NA,,110000428886,,,,,,NA,,
60007MDLND1001M,INX INTERNATIONAL INK CO MORSE AVE,1001 MORSE AVE,ELK GROVE VILLAGE,COOK,17031,IL,60007,5,0,INX INTERNATIONAL INK CO,150 N MARTINGALE ROADSUITE 700,SCHAUMBURG,IL,,,60173,C,,,051065035,INX INTERNATIONAL INK CO,420000.0,875811.0,42.0,87.969444,150.0,UN,UN,1,U,1010,0,KEVIN FACKLAM,6303821859,KEVIN.FACKLAM@INXINTL.COM,,,,110000428895,,,,,,,,
